date,description,amount,category
2024-01-01,Swiggy Food Order,450,Food
2024-01-02,Amazon Shopping,1200,Shopping
2024-01-03,Uber Ride,180,Transport
2024-01-04,Netflix Subscription,649,Entertainment
2024-01-05,Electricity Bill,1100,Utilities
2024-01-06,Zomato Dinner,600,Food
2024-01-07,Petrol,500,Transport
2024-01-08,Grocery Store,800,Groceries
2024-01-09,Movie Tickets,400,Entertainment
2024-01-10,Phone Bill,299,Utilities
2024-01-11,Restaurant Lunch,350,Food
2024-01-12,Online Course,2000,Education
2024-01-13,Bus Pass,200,Transport
2024-01-14,Bakery,150,Food
2024-01-15,Gym Membership,1500,Health
2024-01-16,Medical Checkup,800,Health
2024-01-17,Books,600,Education
2024-01-18,Spotify,119,Entertainment
2024-01-19,Water Bill,200,Utilities
2024-01-20,Clothes Shopping,2500,Shopping
